line,stage,stage_slug,altitude,depth_status,cell_path
collective-intelligence,10,concrete-peak,orange,complete,cells/collective-intelligence/10-concrete-peak.md
collective-intelligence,11,abstract-emerge,orange,complete,cells/collective-intelligence/11-abstract-emerge.md
collective-intelligence,12,formal-landmark,teal,complete,cells/collective-intelligence/12-formal-landmark.md
collective-intelligence,13,systematic-green,teal,complete,cells/collective-intelligence/13-systematic-green.md
collective-intelligence,14,metasystematic-teal,turquoise,complete,cells/collective-intelligence/14-metasystematic-teal.md
collective-intelligence,15,paradigmatic-turq,turquoise,complete,cells/collective-intelligence/15-paradigmatic-turq.md
collective-intelligence,15,paradigmatic-turquoise,turquoise,complete,cells/collective-intelligence/15-paradigmatic-turquoise.md
collective-intelligence,16,cross-paradigmatic,violet,complete,cells/collective-intelligence/16-cross-paradigmatic.md
collective-intelligence,17,meta-cross-violet,violet,complete,cells/collective-intelligence/17-meta-cross-violet.md
computational,1,prehension,infrared,complete,cells/computational/01-prehension.md
computational,2,irritability,infrared,complete,cells/computational/02-irritability.md
computational,3,basic-impulse,infrared,complete,cells/computational/03-basic-impulse.md
computational,4,emotion-complex,magenta,complete,cells/computational/04-emotion-complex.md
computational,5,sensory-motor,red,complete,cells/computational/05-sensory-motor.md
computational,6,nominal-rule,amber,complete,cells/computational/06-nominal-rule.md
computational,7,sentential-faith,amber,complete,cells/computational/07-sentential-faith.md
computational,8,preoperational,green,complete,cells/computational/08-preoperational.md
computational,9,primary-modern,amber,complete,cells/computational/09-primary-modern.md
computational,10,concrete-peak,orange,complete,cells/computational/10-concrete-peak.md
computational,11,abstract-emerge,orange,complete,cells/computational/11-abstract-emerge.md
computational,12,formal-landmark,teal,complete,cells/computational/12-formal-landmark.md
computational,13,systematic-green,teal,complete,cells/computational/13-systematic-green.md
computational,14,metasystematic-teal,turquoise,complete,cells/computational/14-metasystematic-teal.md
computational,15,paradigmatic-turq,turquoise,complete,cells/computational/15-paradigmatic-turq.md
computational,16,cross-paradigmatic,violet,complete,cells/computational/16-cross-paradigmatic.md
computational,17,meta-cross-violet,violet,complete,cells/computational/17-meta-cross-violet.md
consciousness-state,1,prehension,infrared,complete,cells/consciousness-state/01-prehension.md
consciousness-state,2,irritability,infrared,complete,cells/consciousness-state/02-irritability.md
consciousness-state,3,basic-impulse,magenta,complete,cells/consciousness-state/03-basic-impulse.md
consciousness-state,4,emotion-complex,red,complete,cells/consciousness-state/04-emotion-complex.md
consciousness-state,5,sensory-motor,red,complete,cells/consciousness-state/05-sensory-motor.md
consciousness-state,6,nominal-rule,amber,complete,cells/consciousness-state/06-nominal-rule.md
consciousness-state,7,sentential-faith,amber,complete,cells/consciousness-state/07-sentential-faith.md
consciousness-state,8,preoperational,amber,complete,cells/consciousness-state/08-preoperational.md
consciousness-state,9,primary-modern,amber,complete,cells/consciousness-state/09-primary-modern.md
consciousness-state,10,concrete-peak,amber,complete,cells/consciousness-state/10-concrete-peak.md
consciousness-state,11,abstract-emerge,orange,complete,cells/consciousness-state/11-abstract-emerge.md
consciousness-state,12,formal-landmark,orange,complete,cells/consciousness-state/12-formal-landmark.md
consciousness-state,13,systematic-green,green,complete,cells/consciousness-state/13-systematic-green.md
consciousness-state,14,metasystematic-teal,teal,complete,cells/consciousness-state/14-metasystematic-teal.md
consciousness-state,15,paradigmatic-turq,turquoise,complete,cells/consciousness-state/15-paradigmatic-turq.md
consciousness-state,16,cross-paradigmatic,indigo,complete,cells/consciousness-state/16-cross-paradigmatic.md
consciousness-state,17,meta-cross-violet,violet,complete,cells/consciousness-state/17-meta-cross-violet.md
craft-skill,1,prehension,infrared,complete,cells/craft-skill/01-prehension.md
craft-skill,2,irritability,infrared,complete,cells/craft-skill/02-irritability.md
craft-skill,3,basic-impulse,magenta,complete,cells/craft-skill/03-basic-impulse.md
craft-skill,4,emotion-complex,red,complete,cells/craft-skill/04-emotion-complex.md
craft-skill,5,sensory-motor,red,complete,cells/craft-skill/05-sensory-motor.md
craft-skill,6,nominal-rule,amber,complete,cells/craft-skill/06-nominal-rule.md
craft-skill,7,sentential-faith,amber,complete,cells/craft-skill/07-sentential-faith.md
craft-skill,8,preoperational,amber,complete,cells/craft-skill/08-preoperational.md
craft-skill,9,primary-modern,amber,complete,cells/craft-skill/09-primary-modern.md
craft-skill,10,concrete-peak,amber,complete,cells/craft-skill/10-concrete-peak.md
craft-skill,11,abstract-emerge,orange,complete,cells/craft-skill/11-abstract-emerge.md
craft-skill,12,formal-landmark,orange,complete,cells/craft-skill/12-formal-landmark.md
craft-skill,13,systematic-green,green,complete,cells/craft-skill/13-systematic-green.md
craft-skill,14,metasystematic-teal,teal,complete,cells/craft-skill/14-metasystematic-teal.md
craft-skill,15,paradigmatic-turq,turquoise,complete,cells/craft-skill/15-paradigmatic-turq.md
craft-skill,16,cross-paradigmatic,indigo,complete,cells/craft-skill/16-cross-paradigmatic.md
craft-skill,17,meta-cross-violet,violet,complete,cells/craft-skill/17-meta-cross-violet.md
culture,1,prehension,infrared,complete,cells/culture/01-prehension.md
culture,2,irritability,infrared,complete,cells/culture/02-irritability.md
culture,3,basic-impulse,magenta,complete,cells/culture/03-basic-impulse.md
culture,4,emotion-complex,red,complete,cells/culture/04-emotion-complex.md
culture,5,sensory-motor,red,complete,cells/culture/05-sensory-motor.md
culture,6,nominal-rule,amber,complete,cells/culture/06-nominal-rule.md
culture,7,sentential-faith,amber,complete,cells/culture/07-sentential-faith.md
culture,8,preoperational,amber,complete,cells/culture/08-preoperational.md
culture,9,primary-modern,amber,complete,cells/culture/09-primary-modern.md
culture,10,concrete-peak,amber,complete,cells/culture/10-concrete-peak.md
culture,11,abstract-emerge,orange,complete,cells/culture/11-abstract-emerge.md
culture,12,formal-landmark,orange,complete,cells/culture/12-formal-landmark.md
culture,13,systematic-green,green,complete,cells/culture/13-systematic-green.md
culture,14,metasystematic-teal,teal,complete,cells/culture/14-metasystematic-teal.md
culture,15,paradigmatic-turq,turquoise,complete,cells/culture/15-paradigmatic-turq.md
culture,16,cross-paradigmatic,indigo,complete,cells/culture/16-cross-paradigmatic.md
culture,17,meta-cross-violet,violet,complete,cells/culture/17-meta-cross-violet.md
developmental,1,prehension,infrared,complete,cells/developmental/01-prehension.md
developmental,2,irritability,infrared,complete,cells/developmental/02-irritability.md
developmental,3,basic-impulse,magenta,complete,cells/developmental/03-basic-impulse.md
developmental,4,emotion-complex,red,complete,cells/developmental/04-emotion-complex.md
developmental,5,sensory-motor,red,complete,cells/developmental/05-sensory-motor.md
developmental,6,nominal-rule,amber,complete,cells/developmental/06-nominal-rule.md
developmental,7,sentential-faith,amber,complete,cells/developmental/07-sentential-faith.md
developmental,8,preoperational,amber,complete,cells/developmental/08-preoperational.md
developmental,9,primary-modern,amber,complete,cells/developmental/09-primary-modern.md
developmental,10,concrete-peak,amber,complete,cells/developmental/10-concrete-peak.md
developmental,11,abstract-emerge,orange,complete,cells/developmental/11-abstract-emerge.md
developmental,12,formal-landmark,orange,complete,cells/developmental/12-formal-landmark.md
developmental,13,systematic-green,green,complete,cells/developmental/13-systematic-green.md
developmental,14,metasystematic-teal,teal,complete,cells/developmental/14-metasystematic-teal.md
developmental,15,paradigmatic-turq,turquoise,complete,cells/developmental/15-paradigmatic-turq.md
developmental,16,cross-paradigmatic,indigo,complete,cells/developmental/16-cross-paradigmatic.md
developmental,17,meta-cross-violet,violet,complete,cells/developmental/17-meta-cross-violet.md
digital-tool,1,prehension,infrared,complete,cells/digital-tool/01-prehension.md
digital-tool,2,irritability,infrared,complete,cells/digital-tool/02-irritability.md
digital-tool,3,basic-impulse,infrared,complete,cells/digital-tool/03-basic-impulse.md
digital-tool,4,emotion-complex,magenta,complete,cells/digital-tool/04-emotion-complex.md
digital-tool,5,sensory-motor,red,complete,cells/digital-tool/05-sensory-motor.md
digital-tool,6,nominal-rule,amber,complete,cells/digital-tool/06-nominal-rule.md
digital-tool,7,sentential-faith,amber,complete,cells/digital-tool/07-sentential-faith.md
digital-tool,8,preoperational,green,complete,cells/digital-tool/08-preoperational.md
digital-tool,9,primary-modern,amber,complete,cells/digital-tool/09-primary-modern.md
digital-tool,10,concrete-peak,orange,complete,cells/digital-tool/10-concrete-peak.md
digital-tool,11,abstract-emerge,orange,complete,cells/digital-tool/11-abstract-emerge.md
digital-tool,12,formal-landmark,teal,complete,cells/digital-tool/12-formal-landmark.md
digital-tool,13,systematic-green,teal,complete,cells/digital-tool/13-systematic-green.md
digital-tool,14,metasystematic-teal,turquoise,complete,cells/digital-tool/14-metasystematic-teal.md
digital-tool,15,paradigmatic-turq,turquoise,complete,cells/digital-tool/15-paradigmatic-turq.md
digital-tool,16,cross-paradigmatic,violet,complete,cells/digital-tool/16-cross-paradigmatic.md
digital-tool,17,meta-cross-violet,violet,complete,cells/digital-tool/17-meta-cross-violet.md
economic-systems,1,prehension,infrared,complete,cells/economic-systems/01-prehension.md
economic-systems,2,irritability,infrared,complete,cells/economic-systems/02-irritability.md
economic-systems,3,basic-impulse,magenta,complete,cells/economic-systems/03-basic-impulse.md
economic-systems,4,emotion-complex,red,complete,cells/economic-systems/04-emotion-complex.md
economic-systems,5,sensory-motor,red,complete,cells/economic-systems/05-sensory-motor.md
economic-systems,6,nominal-rule,amber,complete,cells/economic-systems/06-nominal-rule.md
economic-systems,7,sentential-faith,amber,complete,cells/economic-systems/07-sentential-faith.md
economic-systems,8,preoperational,amber,complete,cells/economic-systems/08-preoperational.md
economic-systems,9,primary-modern,amber,complete,cells/economic-systems/09-primary-modern.md
economic-systems,10,concrete-peak,amber,complete,cells/economic-systems/10-concrete-peak.md
economic-systems,11,abstract-emerge,orange,complete,cells/economic-systems/11-abstract-emerge.md
economic-systems,12,formal-landmark,orange,complete,cells/economic-systems/12-formal-landmark.md
economic-systems,13,systematic-green,green,complete,cells/economic-systems/13-systematic-green.md
economic-systems,14,metasystematic-teal,teal,complete,cells/economic-systems/14-metasystematic-teal.md
economic-systems,15,paradigmatic-turq,turquoise,complete,cells/economic-systems/15-paradigmatic-turq.md
economic-systems,16,cross-paradigmatic,indigo,complete,cells/economic-systems/16-cross-paradigmatic.md
economic-systems,17,meta-cross-violet,violet,complete,cells/economic-systems/17-meta-cross-violet.md
education,1,prehension,infrared,complete,cells/education/01-prehension.md
education,2,irritability,infrared,complete,cells/education/02-irritability.md
education,3,basic-impulse,magenta,complete,cells/education/03-basic-impulse.md
education,4,emotion-complex,red,complete,cells/education/04-emotion-complex.md
education,5,sensory-motor,red,complete,cells/education/05-sensory-motor.md
education,6,nominal-rule,amber,complete,cells/education/06-nominal-rule.md
education,7,sentential-faith,amber,complete,cells/education/07-sentential-faith.md
education,8,preoperational,amber,complete,cells/education/08-preoperational.md
education,9,primary-modern,amber,complete,cells/education/09-primary-modern.md
education,10,concrete-peak,amber,complete,cells/education/10-concrete-peak.md
education,11,abstract-emerge,orange,complete,cells/education/11-abstract-emerge.md
education,12,formal-landmark,orange,complete,cells/education/12-formal-landmark.md
education,13,systematic-green,green,complete,cells/education/13-systematic-green.md
education,14,metasystematic-teal,teal,complete,cells/education/14-metasystematic-teal.md
education,15,paradigmatic-turq,turquoise,complete,cells/education/15-paradigmatic-turq.md
education,16,cross-paradigmatic,indigo,complete,cells/education/16-cross-paradigmatic.md
education,17,meta-cross-violet,violet,complete,cells/education/17-meta-cross-violet.md
emotional-interpersonal,1,prehension,infrared,complete,cells/emotional-interpersonal/01-prehension.md
emotional-interpersonal,2,irritability,infrared,complete,cells/emotional-interpersonal/02-irritability.md
emotional-interpersonal,3,basic-impulse,infrared,complete,cells/emotional-interpersonal/03-basic-impulse.md
emotional-interpersonal,4,emotion-complex,magenta,complete,cells/emotional-interpersonal/04-emotion-complex.md
emotional-interpersonal,5,sensory-motor,red,complete,cells/emotional-interpersonal/05-sensory-motor.md
emotional-interpersonal,6,nominal-rule,amber,complete,cells/emotional-interpersonal/06-nominal-rule.md
emotional-interpersonal,7,sentential-faith,amber,complete,cells/emotional-interpersonal/07-sentential-faith.md
emotional-interpersonal,8,preoperational,green,complete,cells/emotional-interpersonal/08-preoperational.md
emotional-interpersonal,9,primary-modern,amber,complete,cells/emotional-interpersonal/09-primary-modern.md
emotional-interpersonal,10,concrete-peak,orange,complete,cells/emotional-interpersonal/10-concrete-peak.md
emotional-interpersonal,11,abstract-emerge,orange,complete,cells/emotional-interpersonal/11-abstract-emerge.md
emotional-interpersonal,12,formal-landmark,teal,complete,cells/emotional-interpersonal/12-formal-landmark.md
emotional-interpersonal,13,systematic-green,teal,complete,cells/emotional-interpersonal/13-systematic-green.md
emotional-interpersonal,14,metasystematic-teal,turquoise,complete,cells/emotional-interpersonal/14-metasystematic-teal.md
emotional-interpersonal,15,paradigmatic-turq,turquoise,complete,cells/emotional-interpersonal/15-paradigmatic-turq.md
emotional-interpersonal,16,cross-paradigmatic,violet,complete,cells/emotional-interpersonal/16-cross-paradigmatic.md
emotional-interpersonal,17,meta-cross-violet,violet,complete,cells/emotional-interpersonal/17-meta-cross-violet.md
environmental,1,prehension,infrared,complete,cells/environmental/01-prehension.md
environmental,2,irritability,infrared,complete,cells/environmental/02-irritability.md
environmental,3,basic-impulse,magenta,complete,cells/environmental/03-basic-impulse.md
environmental,4,emotion-complex,red,complete,cells/environmental/04-emotion-complex.md
environmental,5,sensory-motor,red,complete,cells/environmental/05-sensory-motor.md
environmental,6,nominal-rule,amber,complete,cells/environmental/06-nominal-rule.md
environmental,7,sentential-faith,amber,complete,cells/environmental/07-sentential-faith.md
environmental,8,preoperational,amber,complete,cells/environmental/08-preoperational.md
environmental,9,primary-modern,amber,complete,cells/environmental/09-primary-modern.md
environmental,10,concrete-peak,amber,complete,cells/environmental/10-concrete-peak.md
environmental,11,abstract-emerge,orange,complete,cells/environmental/11-abstract-emerge.md
environmental,12,formal-landmark,orange,complete,cells/environmental/12-formal-landmark.md
environmental,13,systematic-green,green,complete,cells/environmental/13-systematic-green.md
environmental,14,metasystematic-teal,teal,complete,cells/environmental/14-metasystematic-teal.md
environmental,15,paradigmatic-turq,turquoise,complete,cells/environmental/15-paradigmatic-turq.md
environmental,16,cross-paradigmatic,indigo,complete,cells/environmental/16-cross-paradigmatic.md
environmental,17,meta-cross-violet,violet,complete,cells/environmental/17-meta-cross-violet.md
epistemic,1,prehension,infrared,complete,cells/epistemic/01-prehension.md
epistemic,2,irritability,infrared,complete,cells/epistemic/02-irritability.md
epistemic,3,basic-impulse,magenta,complete,cells/epistemic/03-basic-impulse.md
epistemic,4,emotion-complex,red,complete,cells/epistemic/04-emotion-complex.md
epistemic,5,sensory-motor,red,complete,cells/epistemic/05-sensory-motor.md
epistemic,6,nominal-rule,amber,complete,cells/epistemic/06-nominal-rule.md
epistemic,7,sentential-faith,amber,complete,cells/epistemic/07-sentential-faith.md
epistemic,8,preoperational,amber,complete,cells/epistemic/08-preoperational.md
epistemic,9,primary-modern,amber,complete,cells/epistemic/09-primary-modern.md
epistemic,10,concrete-peak,amber,complete,cells/epistemic/10-concrete-peak.md
epistemic,11,abstract-emerge,orange,complete,cells/epistemic/11-abstract-emerge.md
epistemic,12,formal-landmark,orange,complete,cells/epistemic/12-formal-landmark.md
epistemic,13,systematic-green,green,complete,cells/epistemic/13-systematic-green.md
epistemic,14,metasystematic-teal,teal,complete,cells/epistemic/14-metasystematic-teal.md
epistemic,15,paradigmatic-turq,turquoise,complete,cells/epistemic/15-paradigmatic-turq.md
epistemic,16,cross-paradigmatic,indigo,complete,cells/epistemic/16-cross-paradigmatic.md
epistemic,17,meta-cross-violet,violet,complete,cells/epistemic/17-meta-cross-violet.md
ethics-relational,1,prehension,infrared,complete,cells/ethics-relational/01-prehension.md
ethics-relational,2,irritability,infrared,complete,cells/ethics-relational/02-irritability.md
ethics-relational,3,basic-impulse,infrared,complete,cells/ethics-relational/03-basic-impulse.md
ethics-relational,4,emotion-complex,magenta,complete,cells/ethics-relational/04-emotion-complex.md
ethics-relational,5,sensory-motor,red,complete,cells/ethics-relational/05-sensory-motor.md
ethics-relational,6,nominal-rule,amber,complete,cells/ethics-relational/06-nominal-rule.md
ethics-relational,7,sentential-faith,amber,complete,cells/ethics-relational/07-sentential-faith.md
ethics-relational,8,preoperational,green,complete,cells/ethics-relational/08-preoperational.md
ethics-relational,9,primary-modern,amber,complete,cells/ethics-relational/09-primary-modern.md
ethics-relational,10,concrete-peak,orange,complete,cells/ethics-relational/10-concrete-peak.md
ethics-relational,11,abstract-emerge,orange,complete,cells/ethics-relational/11-abstract-emerge.md
ethics-relational,12,formal-landmark,teal,complete,cells/ethics-relational/12-formal-landmark.md
ethics-relational,13,systematic-green,teal,complete,cells/ethics-relational/13-systematic-green.md
ethics-relational,14,metasystematic-teal,turquoise,complete,cells/ethics-relational/14-metasystematic-teal.md
ethics-relational,15,paradigmatic-turq,turquoise,complete,cells/ethics-relational/15-paradigmatic-turq.md
ethics-relational,16,cross-paradigmatic,violet,complete,cells/ethics-relational/16-cross-paradigmatic.md
ethics-relational,17,meta-cross-violet,violet,complete,cells/ethics-relational/17-meta-cross-violet.md
framework-complexity,1,prehension,infrared,complete,cells/framework-complexity/01-prehension.md
framework-complexity,2,irritability,infrared,complete,cells/framework-complexity/02-irritability.md
framework-complexity,3,basic-impulse,magenta,complete,cells/framework-complexity/03-basic-impulse.md
framework-complexity,4,emotion-complex,red,complete,cells/framework-complexity/04-emotion-complex.md
framework-complexity,5,sensory-motor,red,complete,cells/framework-complexity/05-sensory-motor.md
framework-complexity,6,nominal-rule,amber,complete,cells/framework-complexity/06-nominal-rule.md
framework-complexity,7,sentential-faith,amber,complete,cells/framework-complexity/07-sentential-faith.md
framework-complexity,8,preoperational,amber,complete,cells/framework-complexity/08-preoperational.md
framework-complexity,9,primary-modern,amber,complete,cells/framework-complexity/09-primary-modern.md
framework-complexity,10,concrete-peak,amber,complete,cells/framework-complexity/10-concrete-peak.md
framework-complexity,11,abstract-emerge,orange,complete,cells/framework-complexity/11-abstract-emerge.md
framework-complexity,12,formal-landmark,orange,complete,cells/framework-complexity/12-formal-landmark.md
framework-complexity,13,systematic-green,green,complete,cells/framework-complexity/13-systematic-green.md
framework-complexity,14,metasystematic-teal,teal,complete,cells/framework-complexity/14-metasystematic-teal.md
framework-complexity,15,paradigmatic-turq,turquoise,complete,cells/framework-complexity/15-paradigmatic-turq.md
framework-complexity,16,cross-paradigmatic,indigo,complete,cells/framework-complexity/16-cross-paradigmatic.md
framework-complexity,17,meta-cross-violet,violet,complete,cells/framework-complexity/17-meta-cross-violet.md
gender-studies,1,prehension,infrared,complete,cells/gender-studies/01-prehension.md
gender-studies,2,irritability,infrared,complete,cells/gender-studies/02-irritability.md
gender-studies,3,basic-impulse,magenta,complete,cells/gender-studies/03-basic-impulse.md
gender-studies,4,emotion-complex,red,complete,cells/gender-studies/04-emotion-complex.md
gender-studies,5,sensory-motor,red,complete,cells/gender-studies/05-sensory-motor.md
gender-studies,6,nominal-rule,amber,complete,cells/gender-studies/06-nominal-rule.md
gender-studies,7,sentential-faith,amber,complete,cells/gender-studies/07-sentential-faith.md
gender-studies,8,preoperational,amber,complete,cells/gender-studies/08-preoperational.md
gender-studies,9,primary-modern,amber,complete,cells/gender-studies/09-primary-modern.md
gender-studies,10,concrete-peak,amber,complete,cells/gender-studies/10-concrete-peak.md
gender-studies,11,abstract-emerge,orange,complete,cells/gender-studies/11-abstract-emerge.md
gender-studies,12,formal-landmark,orange,complete,cells/gender-studies/12-formal-landmark.md
gender-studies,13,systematic-green,green,complete,cells/gender-studies/13-systematic-green.md
gender-studies,14,metasystematic-teal,teal,complete,cells/gender-studies/14-metasystematic-teal.md
gender-studies,15,paradigmatic-turq,turquoise,complete,cells/gender-studies/15-paradigmatic-turq.md
gender-studies,16,cross-paradigmatic,indigo,complete,cells/gender-studies/16-cross-paradigmatic.md
gender-studies,17,meta-cross-violet,violet,complete,cells/gender-studies/17-meta-cross-violet.md
governance,1,prehension,infrared,complete,cells/governance/01-prehension.md
governance,2,irritability,infrared,complete,cells/governance/02-irritability.md
governance,3,basic-impulse,magenta,complete,cells/governance/03-basic-impulse.md
governance,4,emotion-complex,red,complete,cells/governance/04-emotion-complex.md
governance,5,sensory-motor,red,complete,cells/governance/05-sensory-motor.md
governance,6,nominal-rule,amber,complete,cells/governance/06-nominal-rule.md
governance,7,sentential-faith,amber,complete,cells/governance/07-sentential-faith.md
governance,8,preoperational,amber,complete,cells/governance/08-preoperational.md
governance,9,primary-modern,amber,complete,cells/governance/09-primary-modern.md
governance,10,concrete-peak,amber,complete,cells/governance/10-concrete-peak.md
governance,11,abstract-emerge,orange,complete,cells/governance/11-abstract-emerge.md
governance,12,formal-landmark,orange,complete,cells/governance/12-formal-landmark.md
governance,13,systematic-green,green,complete,cells/governance/13-systematic-green.md
governance,14,metasystematic-teal,teal,complete,cells/governance/14-metasystematic-teal.md
governance,15,paradigmatic-turq,turquoise,complete,cells/governance/15-paradigmatic-turq.md
governance,16,cross-paradigmatic,indigo,complete,cells/governance/16-cross-paradigmatic.md
governance,17,meta-cross-violet,violet,complete,cells/governance/17-meta-cross-violet.md
health,1,prehension,infrared,complete,cells/health/01-prehension.md
health,2,irritability,infrared,complete,cells/health/02-irritability.md
health,3,basic-impulse,magenta,complete,cells/health/03-basic-impulse.md
health,4,emotion-complex,red,complete,cells/health/04-emotion-complex.md
health,5,sensory-motor,red,complete,cells/health/05-sensory-motor.md
health,6,nominal-rule,amber,complete,cells/health/06-nominal-rule.md
health,7,sentential-faith,amber,complete,cells/health/07-sentential-faith.md
health,8,preoperational,amber,complete,cells/health/08-preoperational.md
health,9,primary-modern,amber,complete,cells/health/09-primary-modern.md
health,10,concrete-peak,amber,complete,cells/health/10-concrete-peak.md
health,11,abstract-emerge,orange,complete,cells/health/11-abstract-emerge.md
health,12,formal-landmark,orange,complete,cells/health/12-formal-landmark.md
health,13,systematic-green,green,complete,cells/health/13-systematic-green.md
health,14,metasystematic-teal,teal,complete,cells/health/14-metasystematic-teal.md
health,15,paradigmatic-turq,turquoise,complete,cells/health/15-paradigmatic-turq.md
health,16,cross-paradigmatic,indigo,complete,cells/health/16-cross-paradigmatic.md
health,17,meta-cross-violet,violet,complete,cells/health/17-meta-cross-violet.md
hierarchical-complexity,1,prehension,infrared,complete,cells/hierarchical-complexity/01-prehension.md
hierarchical-complexity,2,irritability,infrared,complete,cells/hierarchical-complexity/02-irritability.md
hierarchical-complexity,3,basic-impulse,infrared,complete,cells/hierarchical-complexity/03-basic-impulse.md
hierarchical-complexity,4,emotion-complex,magenta,complete,cells/hierarchical-complexity/04-emotion-complex.md
hierarchical-complexity,5,sensory-motor,red,complete,cells/hierarchical-complexity/05-sensory-motor.md
